,joint_feature,weight,s_feature,s_weight
0,# utterances (participant),0.042111249342467794,# utterances (participant),0.008422249868493558
1,# tokens (participant),0.41816866043958034,# tokens (participant),0.08363373208791607
2,# unique tokens (participant),-0.4373623533374212,# unique tokens (participant),-0.08747247066748423
3,# unique lemmas (participant),0.007996038959182817,# unique lemmas (participant),0.0015992077918365634
4,# ADJ (participant),0.2717501769012958,# ADJ (participant),0.05435003538025916
5,# ADP (participant),0.016403337117892304,# ADP (participant),0.0032806674235784606
6,# ADV (participant),0.12129456015180655,# ADV (participant),0.02425891203036131
7,# AUX (participant),0.5696572483520509,# AUX (participant),0.11393144967041018
8,# CCONJ (participant),0.03324354891729257,# CCONJ (participant),0.006648709783458514
9,# DET (participant),0.10137071702594067,# DET (participant),0.020274143405188134
10,# INTJ (participant),0.23274801363586026,# INTJ (participant),0.046549602727172054
11,# NOUN (participant),-0.28002522319131024,# NOUN (participant),-0.056005044638262044
12,# NUM (participant),-0.017030356851496196,# NUM (participant),-0.0034060713702992393
13,# PART (participant),0.4004806263707016,# PART (participant),0.08009612527414031
14,# PRON (participant),-0.33387672946143876,# PRON (participant),-0.06677534589228776
15,# PROPN (participant),-0.10517171866422184,# PROPN (participant),-0.02103434373284437
16,# PUNCT (participant),-0.245786476110292,# PUNCT (participant),-0.0491572952220584
17,# SCONJ (participant),-0.22773182490991015,# SCONJ (participant),-0.04554636498198203
18,# VERB (participant),-0.2124223209564522,# VERB (participant),-0.04248446419129044
19,# named entities (participant),0.3186732032740052,# named entities (participant),0.06373464065480104
20,# unique named entities (participant),-0.42139582331846037,# unique named entities (participant),-0.08427916466369208
21,# CARDINAL (participant),-0.03847737141647476,# CARDINAL (participant),-0.0076954742832949525
22,TTR (participant),0.595906589682144,TTR (participant),0.1191813179364288
23,MSTTR (participant),0.34168726559442264,MSTTR (participant),0.06833745311888453
24,MATTR (participant),-0.6040003236561013,MATTR (participant),-0.12080006473122026
25,Maas (participant),0.3974578878362641,Maas (participant),0.07949157756725282
26,MTLD (participant),0.38135049200302795,MTLD (participant),0.07627009840060558
27,HD-D (participant),-0.05645532256092238,HD-D (participant),-0.011291064512184475
28,SUBTLscore (participant),-0.5620644104242599,SUBTLscore (participant),-0.11241288208485198
29,tree_height (participant),0.050290442901764876,tree_height (participant),0.010058088580352975
30,NP_to_PRP (participant),0.8455190047981175,NP_to_PRP (participant),0.1691038009596235
31,NP_to_DT_NN (participant),-0.336936727408948,NP_to_DT_NN (participant),-0.0673873454817896
32,VP_to_VBG (participant),-0.23742923720007827,VP_to_VBG (participant),-0.047485847440015654
33,INTJ_to_UH (participant),-0.061753303038300955,INTJ_to_UH (participant),-0.01235066060766019
34,ROOT_to_FRAG (participant),0.0818385984022352,ROOT_to_FRAG (participant),0.016367719680447042
35,VP_to_AUX_VP (participant),-0.19638828135704672,VP_to_AUX_VP (participant),-0.03927765627140935
36,VP_to_AUX_ADJP (participant),-0.23900796743326783,VP_to_AUX_ADJP (participant),-0.04780159348665357
37,VP_to_AUX (participant),-0.42036557506556826,VP_to_AUX (participant),-0.08407311501311365
38,BrunetIndex,0.5350088293422222,BrunetIndex,0.10700176586844443
39,HonoreStatistic,-0.05132933687768326,HonoreStatistic,-0.010265867375536652
40,MeanWordLength,-0.3472075580972519,MeanWordLength,-0.06944151161945038
41,DisfluencyFrequency,-0.30491967023117944,DisfluencyFrequency,-0.06098393404623589
42,RatioNoun,-0.11755795328148202,RatioNoun,-0.023511590656296405
43,RatioVerb,0.09544977646406753,RatioVerb,0.01908995529281351
44,RatioPronoun,-0.13823386244001196,RatioPronoun,-0.027646772488002392
45,RatioCoordinate,0.209203146912108,RatioCoordinate,0.0418406293824216
46,NPTypeRate,-0.21163666046282162,NPTypeRate,-0.042327332092564326
47,VPTypeRate,0.13692977338496023,VPTypeRate,0.027385954676992046
48,PPTypeRate,-0.022171364012706585,PPTypeRate,-0.004434272802541317
49,PProportion,0.2425477866393051,PProportion,0.04850955732786102
50,NPProportion,-0.1083836396756297,NPProportion,-0.02167672793512594
51,VPProportion,0.28889273870897575,VPProportion,0.05777854774179515
52,AvgNPTypeLengthEmbedded,0.36549823797109116,AvgNPTypeLengthEmbedded,0.07309964759421823
53,AvgVPTypeLengthEmbedded,0.32264367910005265,AvgVPTypeLengthEmbedded,0.06452873582001054
54,AvgPPTypeLengthEmbedded,-0.26242275212599775,AvgPPTypeLengthEmbedded,-0.05248455042519955
55,AvgPPTypeLengthNonEmbedded,-0.2608378449332419,AvgPPTypeLengthNonEmbedded,-0.052167568986648385
56,AvgNPTypeLengthNonEmbedded,-0.07754720617551683,AvgNPTypeLengthNonEmbedded,-0.015509441235103366
57,AvgVPTypeLengthNonEmbedded,-0.23336557646472916,AvgVPTypeLengthNonEmbedded,-0.046673115292945835
58,avg_cos_dist,0.29931284587190177,avg_cos_dist,0.059862569174380355
59,proportion_below_threshold_0,-0.11933502101633967,proportion_below_threshold_0,-0.023867004203267934
60,proportion_below_threshold_0.3,0.04599838719449789,proportion_below_threshold_0.3,0.009199677438899578
61,proportion_below_threshold_0.5,0.2726789515478081,proportion_below_threshold_0.5,0.05453579030956161
