,Unnamed: 0,s_feature,weight,p ,pvalue
0,7,# AUX (participant),1.091598727,,0.0002737920953895435
1,86,UP,1.019628704,,0.7748780788367091
2,13,# PART (participant),0.895599513,,0.11863099697866054
3,38,BrunetIndex,0.848787034,1.0,2.6616117434099425e-13
4,83,UVU,0.766627072,,1.7423643835368014e-05
5,45,RatioCoordinate,0.745829745,,0.0005564849232644844
6,76,stddurpause,0.706172894,,0.011423746721522486
7,26,MTLD (participant),0.623449121,,0.8890024040192324
8,47,VPTypeRate,0.614348077,,0.859906738202358
9,52,AvgNPTypeLengthEmbedded,0.591100537,,9.909770492445722e-15
10,40,MeanWordLength,0.434059961,,4.062431651772287e-06
11,41,DisfluencyFrequency,0.38549011,,6.291911392662358e-06
12,55,AvgPPTypeLengthNonEmbedded,0.372313752,,1.6728629983339722e-13
13,5,# ADP (participant),0.350686966,,4.012060273267948e-11
14,1,# tokens (participant),0.312632323,,8.870557249786986e-06
15,65,skwdurvoiced,0.282011953,,0.0010283778377538
16,4,# ADJ (participant),0.270560844,,0.2560229588467032
17,42,RatioNoun,0.263556993,,8.311604131586473e-08
18,80,mindurpause,0.249146819,,0.20185270857426793
19,23,MSTTR (participant),0.2310344,,0.14643460712135498
20,30,NP_to_PRP (participant),0.216208201,,0.6979401841665985
21,77,skwdurpause,0.209280403,,0.00123474921773288
22,24,MATTR (participant),0.191471249,,0.14187505786663968
23,61,proportion_below_threshold_0.5,0.174409645,,0.0017707036966663457
24,10,# INTJ (participant),0.171936844,,6.846191159215846e-07
25,60,proportion_below_threshold_0.3,0.158321568,,0.0042222941593325
26,50,NPProportion,0.157557226,,3.7825549291358247e-08
27,27,HD-D (participant),0.140452748,,0.06597172816605411
28,68,mindurvoiced,0.127009114,,0.26116219364163523
29,19,# named entities (participant),0.120166931,,0.00014673316226617743
30,48,PPTypeRate,0.105780924,,1.1946328283925863e-10
31,12,# NUM (participant),0.093506879,,0.0017196633050224198
32,66,kurtosisdurvoiced,0.088802179,,0.006841323018894047
33,29,tree_height (participant),0.083404214,,2.5968611138960875e-09
34,74,mindurunvoiced,0.071611459,,0.3988574647302845
35,46,NPTypeRate,0.045315843,,0.00010355434915271755
36,69,avgdurunvoiced,0.043088965,,0.15696546365677616
37,78,kurtosisdurpause,0.025029628,,0.009205507880135553
38,0,# utterances (participant),0.006485583,,8.094525284076816e-08
39,15,# PROPN (participant),-0.000390931,,0.037662196978925803
40,32,VP_to_VBG (participant),-0.008930053,,0.0001221680497123063
41,6,# ADV (participant),-0.021950418,,0.36324694167186355
42,70,stddurunvoiced,-0.029960598,,0.012970944463408643
43,11,# NOUN (participant),-0.06341036,,5.606098461468047e-12
44,21,# CARDINAL (participant),-0.073461153,,0.4496978231192974
45,72,kurtosisdurunvoiced,-0.087931917,,0.006397869165577151
46,67,maxdurvoiced,-0.088537264,,0.7697174132518403
47,85,VP,-0.095462894,,0.025971760062124774
48,34,ROOT_to_FRAG (participant),-0.112594503,,8.403568091437811e-06
49,36,VP_to_AUX_ADJP (participant),-0.115393816,,0.7427855767147071
50,75,avgdurpause,-0.138368962,,0.03851608961812642
51,71,skwdurunvoiced,-0.140301704,,0.675213185611492
52,49,PProportion,-0.144992297,,8.850102520240434e-13
53,18,# VERB (participant),-0.160906606,,1.038615490390056e-05
54,2,# unique tokens (participant),-0.161551983,,0.0009598104478656594
55,44,RatioPronoun,-0.172835474,,0.13357610632178987
56,73,maxdurunvoiced,-0.184134083,,0.6248603707067376
57,25,Maas (participant),-0.192410577,,0.025749611104505646
58,28,SUBTLscore (participant),-0.194350857,,0.2710803844524623
59,39,HonoreStatistic,-0.198412138,,2.4305917259718366e-10
60,56,AvgNPTypeLengthNonEmbedded,-0.199706739,,4.2022990063851805e-11
61,79,maxdurpause,-0.202621492,,0.0004596776861200376
62,58,avg_cos_dist,-0.224701425,,0.406474568429121
63,51,VPProportion,-0.251937838,,1.53996510594425e-08
64,81,PVU,-0.260696812,,0.011277377709413209
65,33,INTJ_to_UH (participant),-0.262646351,,3.057242941907782e-08
66,9,# DET (participant),-0.266458275,,3.5775482065698975e-13
67,35,VP_to_AUX_VP (participant),-0.329322918,,0.670962242377948
68,20,# unique named entities (participant),-0.345049255,,3.52431597101559e-07
69,64,stddurvoiced,-0.362324796,,0.0027790696281317934
70,53,AvgVPTypeLengthEmbedded,-0.375285608,,3.561142756075893e-15
71,17,# SCONJ (participant),-0.385852243,,7.41184496152215e-05
72,62,Vrate,-0.427470119,,0.0034996734383954714
73,8,# CCONJ (participant),-0.444363968,,0.0032172538199162284
74,59,proportion_below_threshold_0,-0.445624411,,0.007987305354076765
75,63,avgdurvoiced,-0.507139997,,8.907844633010264e-05
76,57,AvgVPTypeLengthNonEmbedded,-0.528798522,,3.0194187702732967e-12
77,16,# PUNCT (participant),-0.61320568,,0.00039838839971987917
78,54,AvgPPTypeLengthEmbedded,-0.613228077,,1.0763638166417654e-16
79,14,# PRON (participant),-0.636173494,,0.02301386366844097
80,82,PU,-0.647797331,,0.020087781058967108
81,84,VVU,-0.706040693,,0.1598888380380498
82,37,VP_to_AUX (participant),-0.712428166,,0.2885941071728176
83,31,NP_to_DT_NN (participant),-0.717114179,,1.6056037110871573e-13
84,22,TTR (participant),-0.745332824,,0.0029941349020275714
85,3,# unique lemmas (participant),-0.861197518,,0.0006404499591509748
86,43,RatioVerb,-0.883215385,,1.4853797540951848e-07
