,Unnamed: 0,joint_feature,weight,pvalue
64,64,stddurvoiced,0.871486721,0.001355155
38,38,BrunetIndex,0.580280539,0.064623738
13,13,# PART (participant),0.551982842,0.07606366
52,52,AvgNPTypeLengthEmbedded,0.510062316,0.241371492
69,69,avgdurunvoiced,0.485727561,0.334957245
1,1,# tokens (participant),0.474702237,0.117346203
53,53,AvgVPTypeLengthEmbedded,0.466156439,0.025175809
86,86,UP,0.461654079,2.81E-05
10,10,# INTJ (participant),0.411041215,0.000732749
26,26,MTLD (participant),0.408867516,0.000525254
70,70,stddurunvoiced,0.38973119,0.048574508
75,75,avgdurpause,0.373427157,0.001698804
19,19,# named entities (participant),0.355434328,0.455028593
23,23,MSTTR (participant),0.334745648,1.42E-07
66,66,kurtosisdurvoiced,0.329866792,0.009330723
43,43,RatioVerb,0.299819047,0.180217433
61,61,proportion_below_threshold_0.5,0.293053601,0.000154779
7,7,# AUX (participant),0.289517853,1.59E-07
29,29,tree_height (participant),0.286487141,0.39792187
82,82,PU,0.268094358,3.03E-05
30,30,NP_to_PRP (participant),0.263470937,2.26E-07
6,6,# ADV (participant),0.23855206,1.11E-09
4,4,# ADJ (participant),0.211074649,0.006608462
45,45,RatioCoordinate,0.191912602,0.000621133
9,9,# DET (participant),0.187544893,0.000288052
58,58,avg_cos_dist,0.182488395,4.20E-06
77,77,skwdurpause,0.177358222,0.039299497
79,79,maxdurpause,0.167362874,0.024640067
5,5,# ADP (participant),0.146105325,0.000852069
25,25,Maas (participant),0.121536782,2.08E-07
83,83,UVU,0.12103298,0.387309663
47,47,VPTypeRate,0.111561566,0.139523086
72,72,kurtosisdurunvoiced,0.104484581,0.268229233
71,71,skwdurunvoiced,0.102238838,0.032727401
51,51,VPProportion,0.067838137,0.001927723
21,21,# CARDINAL (participant),0.03573383,0.066251334
8,8,# CCONJ (participant),0.025494363,0.0005315
60,60,proportion_below_threshold_0.3,0.020094649,4.64E-07
74,74,mindurunvoiced,0.017149871,0.499409121
0,0,# utterances (participant),0.004771038,0.391787497
44,44,RatioPronoun,0.000154508,8.14E-07
11,11,# NOUN (participant),-0.000508239,6.10E-10
65,65,skwdurvoiced,-0.002126638,0.000693468
49,49,PProportion,-0.003658667,0.006401129
34,34,ROOT_to_FRAG (participant),-0.003685037,0.000356813
68,68,mindurvoiced,-0.018005334,0.71493487
85,85,VP,-0.034050516,0.042162029
50,50,NPProportion,-0.043377336,0.639188064
15,15,# PROPN (participant),-0.047199998,0.001077381
33,33,INTJ_to_UH (participant),-0.051282147,0.004529666
14,14,# PRON (participant),-0.064669375,1.94E-08
54,54,AvgPPTypeLengthEmbedded,-0.07092535,0.008378194
12,12,# NUM (participant),-0.072680239,0.20942123
46,46,NPTypeRate,-0.073407052,0.54705226
56,56,AvgNPTypeLengthNonEmbedded,-0.076189935,0.698896969
3,3,# unique lemmas (participant),-0.076761456,0.141264767
22,22,TTR (participant),-0.087810041,0.149464738
39,39,HonoreStatistic,-0.110904793,0.281096919
18,18,# VERB (participant),-0.115477128,0.198742651
48,48,PPTypeRate,-0.121252607,0.000465641
78,78,kurtosisdurpause,-0.128253685,0.012507996
35,35,VP_to_AUX_VP (participant),-0.146912117,1.43E-11
37,37,VP_to_AUX (participant),-0.154761247,9.15E-09
73,73,maxdurunvoiced,-0.165257293,0.529098343
27,27,HD-D (participant),-0.197971715,0.14708187
32,32,VP_to_VBG (participant),-0.199316731,9.69E-08
57,57,AvgVPTypeLengthNonEmbedded,-0.202480961,0.002072114
36,36,VP_to_AUX_ADJP (participant),-0.206849215,4.51E-11
42,42,RatioNoun,-0.213448267,0.155245259
17,17,# SCONJ (participant),-0.224965977,0.044644062
59,59,proportion_below_threshold_0,-0.232034264,0.082751076
81,81,PVU,-0.233272012,0.000474447
55,55,AvgPPTypeLengthNonEmbedded,-0.235532839,0.002343111
16,16,# PUNCT (participant),-0.238877134,0.12845757
84,84,VVU,-0.263676269,0.023586875
80,80,mindurpause,-0.273432339,0.909883142
76,76,stddurpause,-0.323557582,0.001574127
62,62,Vrate,-0.327868289,0.000530144
41,41,DisfluencyFrequency,-0.370267164,0.865526094
31,31,NP_to_DT_NN (participant),-0.415393278,1.66E-08
24,24,MATTR (participant),-0.434858671,1.39E-10
20,20,# unique named entities (participant),-0.461088571,0.387705791
63,63,avgdurvoiced,-0.515419059,0.097051271
28,28,SUBTLscore (participant),-0.522470571,5.06E-05
2,2,# unique tokens (participant),-0.533667152,0.000839982
40,40,MeanWordLength,-0.606558429,7.86E-12
67,67,maxdurvoiced,-0.653780774,0.006690298
