,Unnamed: 0,s_feature,weight,p,pvalue
0,1,# tokens (participant),0.899373686,,0.11734620306120115
1,64,stddurvoiced,0.813228276,,0.0013551548239000893
2,43,RatioVerb,0.741707793,,0.18021743319723954
3,14,# PRON (participant),0.584464939,,1.941327660792851e-08
4,16,# PUNCT (participant),0.508631819,,0.1284575704558254
5,53,AvgVPTypeLengthEmbedded,0.459453969,,0.025175808729275464
6,10,# INTJ (participant),0.425513593,,0.0007327485054010663
7,75,avgdurpause,0.401213469,,0.0016988036596557816
8,82,PU,0.364030267,,3.0307125538533754e-05
9,6,# ADV (participant),0.313484158,,1.1122973919718647e-09
10,66,kurtosisdurvoiced,0.302425262,,0.009330723296354503
11,30,NP_to_PRP (participant),0.302324809,,2.2575156130889335e-07
12,3,# unique lemmas (participant),0.297584124,,0.1412647669814032
13,19,# named entities (participant),0.296150339,,0.455028592960782
14,37,VP_to_AUX (participant),0.281161253,,9.149514255369877e-09
15,84,VVU,0.259086867,,0.023586875368552945
16,22,TTR (participant),0.241456015,,0.14946473834117371
17,79,maxdurpause,0.238998099,,0.024640067447597763
18,54,AvgPPTypeLengthEmbedded,0.235557779,,0.008378194399563218
19,9,# DET (participant),0.220084155,,0.0002880519464250258
20,70,stddurunvoiced,0.219217023,,0.04857450750821172
21,8,# CCONJ (participant),0.217813759,,0.0005315002338403505
22,58,avg_cos_dist,0.205673893,,4.196177546883459e-06
23,71,skwdurunvoiced,0.181518195,,0.03272740134230659
24,17,# SCONJ (participant),0.169483919,,0.044644062157396774
25,51,VPProportion,0.148332891,,0.001927722728831871
26,59,proportion_below_threshold_0,0.146873973,,0.08275107562485753
27,69,avgdurunvoiced,0.144551899,,0.3349572447621354
28,18,# VERB (participant),0.11437245,,0.19874265079153247
29,72,kurtosisdurunvoiced,0.113257259,,0.2682292334251961
30,63,avgdurvoiced,0.104574787,,0.09705127086511117
31,52,AvgNPTypeLengthEmbedded,0.07856678,,0.24137149245569792
32,39,HonoreStatistic,0.078171491,,0.28109691861641023
33,77,skwdurpause,0.070226488,,0.03929949721215301
34,49,PProportion,0.062232848,,0.0064011289250005795
35,46,NPTypeRate,0.05581339,,0.547052259949407
36,34,ROOT_to_FRAG (participant),0.055030813,,0.00035681289515527453
37,85,VP,0.037347187,,0.04216202938860146
38,25,Maas (participant),0.021677719,,2.0828727560826202e-07
39,21,# CARDINAL (participant),0.020404261,,0.06625133402033007
40,29,tree_height (participant),0.011143386,,0.39792187017003156
41,33,INTJ_to_UH (participant),0.008946117,,0.004529666107772143
42,57,AvgVPTypeLengthNonEmbedded,-0.00482154,,0.0020721139394537656
43,73,maxdurunvoiced,-0.010044947,,0.5290983434597005
44,11,# NOUN (participant),-0.011461074,,6.098039271494221e-10
45,4,# ADJ (participant),-0.02183606,,0.006608462258854079
46,35,VP_to_AUX_VP (participant),-0.0294491,,1.4329068253299766e-11
47,15,# PROPN (participant),-0.029752828,,0.0010773810902428031
48,5,# ADP (participant),-0.045586219,,0.0008520685436658105
49,62,Vrate,-0.046132193,,0.0005301441118248222
50,44,RatioPronoun,-0.047513357,,8.135251286381095e-07
51,74,mindurunvoiced,-0.04822847,,0.4994091207623512
52,81,PVU,-0.050681069,,0.00047444723623806434
53,50,NPProportion,-0.054792864,,0.6391880643564862
54,12,# NUM (participant),-0.075443295,,0.20942123016159056
55,56,AvgNPTypeLengthNonEmbedded,-0.085476423,,0.6988969691488633
56,61,proportion_below_threshold_0.5,-0.088467547,,0.00015477925270387865
57,28,SUBTLscore (participant),-0.090444535,,5.055326593825036e-05
58,60,proportion_below_threshold_0.3,-0.095358163,,4.641904825608151e-07
59,27,HD-D (participant),-0.095921766,,0.1470818704658233
60,68,mindurvoiced,-0.096223521,,0.7149348695315253
61,42,RatioNoun,-0.110968622,,0.155245259440301
62,48,PPTypeRate,-0.128740451,,0.00046564102247438296
63,23,MSTTR (participant),-0.13696748,,1.4163548251514086e-07
64,26,MTLD (participant),-0.138447407,,0.0005252536663462236
65,24,MATTR (participant),-0.139600402,,1.3853561622394123e-10
66,31,NP_to_DT_NN (participant),-0.159229236,,1.662138066963788e-08
67,32,VP_to_VBG (participant),-0.170815531,,9.693858260358999e-08
68,36,VP_to_AUX_ADJP (participant),-0.17847639,,4.511243678428946e-11
69,45,RatioCoordinate,-0.210210124,,0.0006211334650569081
70,65,skwdurvoiced,-0.213658044,,0.0006934676444407535
71,55,AvgPPTypeLengthNonEmbedded,-0.241651765,,0.002343110653669312
72,47,VPTypeRate,-0.284655845,,0.13952308572116612
73,0,# utterances (participant),-0.286236984,,0.39178749689580994
74,80,mindurpause,-0.299530313,,0.9098831418139831
75,38,BrunetIndex,-0.318283377,,0.06462373822545743
76,13,# PART (participant),-0.32044206,,0.07606365970665677
77,78,kurtosisdurpause,-0.347909384,,0.012507995830285341
78,40,MeanWordLength,-0.366136912,,7.86257455182686e-12
79,20,# unique named entities (participant),-0.405851364,,0.3877057911130981
80,7,# AUX (participant),-0.421220148,,1.585672544245971e-07
81,76,stddurpause,-0.469908874,,0.0015741273245971812
82,86,UP,-0.535117172,,2.8131935383341433e-05
83,41,DisfluencyFrequency,-0.576001706,,0.865526093950571
84,67,maxdurvoiced,-0.599677343,,0.0066902976789212035
85,83,UVU,-0.643517297,,0.3873096628473681
86,2,# unique tokens (participant),-1.202603404,,0.000839981824396157
